a11y-profile-manager-indicator	0.1.11-0ubuntu4
librygel-db-2.6-2:amd64	0.38.3-1ubuntu1
librygel-renderer-2.6-2:amd64	0.38.3-1ubuntu1
librygel-server-2.6-2:amd64	0.38.3-1ubuntu1
libsamplerate0:amd64	0.1.9-2
libsane:amd64	1.0.29-0ubuntu5.2
libsane-common	1.0.29-0ubuntu5.2
libsane-hpaio:amd64	3.20.3+dfsg0-2ubuntu0.1
libsasl2-2:amd64	2.1.27+dfsg-2ubuntu0.1
libsasl2-modules:amd64	2.1.27+dfsg-2ubuntu0.1
libsasl2-modules-db:amd64	2.1.27+dfsg-2ubuntu0.1
libsbc1:amd64	1.4-1
libsctp1:amd64	1.0.18+dfsg-1
libseccomp2:amd64	2.5.1-1ubuntu1~20.04.2
libsecret-1-0:amd64	0.20.4-0ubuntu1
libsecret-common	0.20.4-0ubuntu1
libselinux1:amd64	3.0-1build2
libsemanage1:amd64	3.0-1build2
libsemanage-common	3.0-1build2
libsensors4:amd64	1:3.4.0-4ubuntu0.1
libsensors5:amd64	1:3.6.0-2ubuntu1.1
libsensors-config	1:3.6.0-2ubuntu1.1
libsepol1:amd64	3.0-1ubuntu0.1
libsgutils2-2	1.44-1ubuntu2
libshout3:amd64	2.4.3-1
libsigc++-2.0-0v5:amd64	2.10.2-1build1
libsignon-glib1:amd64	1.14+17.04.20161117-0ubuntu5
libsigsegv2:amd64	2.12-2
libslang2:amd64	2.3.2-4
libslirp0:amd64	4.1.0-2ubuntu2.2
libsm6:amd64	2:1.2.3-1
libsmartcols1:amd64	2.34-0.1ubuntu9.6
libsmbclient:amd64	2:4.15.13+dfsg-0ubuntu0.20.04.8
libsmbios-c2	2.4.3-1
libsm-dev:amd64	2:1.2.3-1
libsnapd-glib1:amd64	1.58-0ubuntu0.20.04.0
libsndfile1:amd64	1.0.28-7ubuntu0.3
libsnmp35:amd64	5.8+dfsg-2ubuntu2.9
libsnmp-base	5.8+dfsg-2ubuntu2.9
libsocket6-perl	0.29-1build1
libsodium23:amd64	1.0.18-1
libsonic0:amd64	0.2.0-8
libsoup2.4-1:amd64	2.70.0-1ubuntu0.5
libsoup-gnome2.4-1:amd64	2.70.0-1ubuntu0.5
libsoxr0:amd64	0.1.3-2build1
libspectre1:amd64	0.2.8-2
libspeechd2:amd64	0.9.1-4
libspeex1:amd64	1.2~rc1.2-1.1ubuntu1.20.04.1
libspeexdsp1:amd64	1.2~rc1.2-1.1ubuntu1.20.04.1
libspice-client-glib-2.0-8:amd64	0.37-2fakesync1
libspice-client-gtk-3.0-5:amd64	0.37-2fakesync1
libspice-server1:amd64	0.14.2-4ubuntu3.1
libsqlite3-0:amd64	3.31.1-4ubuntu0.7
libsqlite3-dev:amd64	3.31.1-4ubuntu0.7
libss2:amd64	1.45.5-2ubuntu1.2
libssh-4:amd64	0.9.3-2ubuntu2.5
libssl1.0.0:amd64	1.0.2n-1ubuntu5.13
libssl1.1:amd64	1.1.1f-1ubuntu2.24
libssl-dev:amd64	1.1.1f-1ubuntu2.24
libssl-doc	1.1.1f-1ubuntu2.24
libstartup-notification0:amd64	0.12-6
libstdc++6:amd64	10.5.0-1ubuntu1~20.04
libstdc++-9-dev:amd64	9.4.0-1ubuntu1~20.04.2
libstemmer0d:amd64	0+svn585-2
libstrictures-perl	2.000006-1
libstring-shellquote-perl	1.04-1
libsuitesparseconfig5:amd64	1:5.7.1+dfsg-2
libsynctex2:amd64	2019.20190605.51237-3ubuntu0.2
libsysmetrics1:amd64	1.6.1ubuntu0.1
libsystemd0:amd64	245.4-4ubuntu3.24
libsystemd-journal0:amd64	204-5ubuntu20
libsys-virt-perl	5.0.0-1build1
libtag1v5:amd64	1.11.1+dfsg.1-0.3ubuntu2
libtag1v5-vanilla:amd64	1.11.1+dfsg.1-0.3ubuntu2
libtalloc2:amd64	2.3.3-0ubuntu0.20.04.1
libtasn1-6:amd64	4.16.0-2ubuntu0.1
libtcl8.6:amd64	8.6.10+dfsg-1
libtdb1:amd64	1.4.5-0ubuntu0.20.04.1
libteamdctl0:amd64	1.30-1
libtelepathy-glib0:amd64	0.24.1-2ubuntu1
libtepl-4-0:amd64	4.4.0-1
libtevent0:amd64	0.11.0-0ubuntu0.20.04.1
libtext-charwidth-perl	0.04-10
libtext-iconv-perl	1.7-7
libtext-levenshtein-perl	0.13-1
libtext-wrapi18n-perl	0.06-9
libthai0:amd64	0.1.28-3
libthai-data	0.1.28-3
libtheora0:amd64	1.1.1+dfsg.1-15ubuntu2
libtie-ixhash-perl	1.23-2
libtiff5:amd64	4.1.0+git191117-2ubuntu0.20.04.14
libtimedate-perl	2.3200-1
libtimezonemap1:amd64	0.4.6-2
libtimezonemap-data	0.4.6-2
libtinfo5:amd64	6.2-0ubuntu2.1
libtinfo6:amd64	6.2-0ubuntu2.1
libtirpc1:amd64	0.2.5-1.2ubuntu0.1
libtirpc3:amd64	1.2.5-1ubuntu0.1
libtirpc-common	1.2.5-1ubuntu0.1
libtk8.6:amd64	8.6.10-1
libtool	2.4.6-14
libtotem0:amd64	3.34.1-2ubuntu2
libtotem-plparser18:amd64	3.26.5-1ubuntu1
libtotem-plparser-common	3.26.5-1ubuntu1
libtracker-control-2.0-0:amd64	2.3.6-0ubuntu1
libtracker-miner-2.0-0:amd64	2.3.6-0ubuntu1
libtracker-sparql-2.0-0:amd64	2.3.6-0ubuntu1
libtry-tiny-perl	0.30-1
libtsan0:amd64	10.5.0-1ubuntu1~20.04
libtsk13	4.6.7-1build1
libtss2-esys0	2.3.2-1ubuntu0.20.04.2
libtwolame0:amd64	0.4.0-2
libtxc-dxtn-s2tc0:amd64	0~git20131104-1.1
libtypes-serialiser-perl	1.0-1
libu2f-udev	1.1.10-1
libubsan0:amd64	7.5.0-6ubuntu2
libubsan1:amd64	10.5.0-1ubuntu1~20.04
libuchardet0:amd64	0.0.6-3build1
libudev1:amd64	245.4-4ubuntu3.24
libudisks2-0:amd64	2.8.4-1ubuntu2
libunbound8:amd64	1.9.4-2ubuntu1.11
libunistring0:amd64	0.9.3-5.2ubuntu1
libunistring2:amd64	0.9.10-2
libunity9:amd64	7.1.4+19.04.20190319-0ubuntu3
libunity-control-center1	15.04.0+19.10.20190921-0ubuntu3
libunity-core-6.0-9:amd64	7.5.1+20.04.20211026.1-0ubuntu1
libunity-gtk2-parser0:amd64	0.0.0+18.04.20171202-0ubuntu2
libunity-gtk3-parser0:amd64	0.0.0+18.04.20171202-0ubuntu2
libunity-misc4	4.0.5+14.04.20140115-0ubuntu3
libunity-protocol-private0:amd64	7.1.4+19.04.20190319-0ubuntu3
libunity-scopes-json-def-desktop	7.1.4+19.04.20190319-0ubuntu3
libunity-settings-daemon1:amd64	15.04.1+20.04.20200325-0ubuntu1
libuno-cppu3	1:6.4.7-0ubuntu0.20.04.15
libuno-cppuhelpergcc3-3	1:6.4.7-0ubuntu0.20.04.15
libunoloader-java	1:6.4.7-0ubuntu0.20.04.15
libuno-purpenvhelpergcc3-3	1:6.4.7-0ubuntu0.20.04.15
libuno-sal3	1:6.4.7-0ubuntu0.20.04.15
libuno-salhelpergcc3-3	1:6.4.7-0ubuntu0.20.04.15
libunwind8:amd64	1.2.1-9ubuntu0.1
libupower-glib3:amd64	0.99.11-1build2
liburi-perl	1.76-2
liburl-dispatcher1:amd64	0.1+17.04.20170328-0ubuntu4
libusb-0.1-4:amd64	2:0.1.12-32
libusb-1.0-0:amd64	2:1.0.23-2build1
libusbmuxd6:amd64	2.0.1-2
libusbredirhost1:amd64	0.8.0-1ubuntu0.1
libusbredirparser1:amd64	0.8.0-1ubuntu0.1
libustr-1.0-1:amd64	1.0.4-6
libutempter0:amd64	1.1.6-4
libuuid1:amd64	2.34-0.1ubuntu9.6
libuuid-perl	0.28-1build1
libuv1:amd64	1.34.2-1ubuntu1.5
libv4l-0:amd64	1.18.0-2build1
libv4lconvert0:amd64	1.18.0-2build1
libva2:amd64	2.7.0-2
libva-x11-2:amd64	2.7.0-2
libvirglrenderer1:amd64	0.8.2-1ubuntu1.1
libvirt0:amd64	6.0.0-0ubuntu8.20
libvirt-clients	6.0.0-0ubuntu8.20
libvirt-daemon	6.0.0-0ubuntu8.20
libvirt-daemon-driver-qemu	6.0.0-0ubuntu8.20
libvirt-daemon-driver-storage-rbd	6.0.0-0ubuntu8.20
libvirt-daemon-system	6.0.0-0ubuntu8.20
libvirt-daemon-system-systemd	6.0.0-0ubuntu8.20
libvirt-dev:amd64	6.0.0-0ubuntu8.20
libvirt-glib-1.0-0:amd64	3.0.0-1
libvisio-0.1-1:amd64	0.1.7-1build2
libvisual-0.4-0:amd64	0.4.0-17
libvncclient1:amd64	0.9.12+dfsg-9ubuntu0.3
libvolume-key1	0.3.12-3.1
libvorbis0a:amd64	1.3.6-2ubuntu1
libvorbisenc2:amd64	1.3.6-2ubuntu1
libvorbisfile3:amd64	1.3.6-2ubuntu1
libvpx6:amd64	1.8.2-1ubuntu0.4
libvte-2.91-0:amd64	0.60.3-0ubuntu1~20.5
libvte-2.91-common	0.60.3-0ubuntu1~20.5
libvulkan1:amd64	1.2.131.2-1
libwacom2:amd64	1.3-2ubuntu3
libwacom-bin	1.3-2ubuntu3
libwacom-common	1.3-2ubuntu3
libwavpack1:amd64	5.2.0-1ubuntu0.1
libwayland-client0:amd64	1.18.0-1ubuntu0.1
libwayland-cursor0:amd64	1.18.0-1ubuntu0.1
libwayland-egl1:amd64	1.18.0-1ubuntu0.1
libwayland-server0:amd64	1.18.0-1ubuntu0.1
libwbclient0:amd64	2:4.15.13+dfsg-0ubuntu0.20.04.8
libwebkit2gtk-4.0-37:amd64	2.38.6-0ubuntu0.20.04.1
libwebp6:amd64	0.6.1-2ubuntu0.20.04.3
libwebpdemux2:amd64	0.6.1-2ubuntu0.20.04.3
libwebpmux3:amd64	0.6.1-2ubuntu0.20.04.3
libwebrtc-audio-processing-0:amd64	0.1-3ubuntu1~gcc5.1
libwebrtc-audio-processing1:amd64	0.3.1-0ubuntu3
libwhoopsie0:amd64	0.2.69ubuntu0.3
libwhoopsie-preferences0	22
libwind0-heimdal:amd64	7.7.0+dfsg-1ubuntu1.4
libwin-hivex-perl	1.3.18-2ubuntu0.1
libwinpr2-2:amd64	2.6.1+dfsg1-0ubuntu0.20.04.2
libwmf0.2-7:amd64	0.2.8.4-17ubuntu1
libwmf0.2-7-gtk	0.2.8.4-17ubuntu1
libwnck-3-0:amd64	3.36.0-1
libwnck-3-common	3.36.0-1
libwoff1:amd64	1.0.2-1build2
libwpd-0.10-10:amd64	0.10.3-1build1
libwpg-0.3-3:amd64	0.3.3-1build1
libwps-0.4-4:amd64	0.4.10-1build1
libwrap0:amd64	7.6.q-30
libwww-perl	6.43-1
libwww-robotrules-perl	6.02-1
libx11-6:amd64	2:1.6.9-2ubuntu1.6
libx11-data	2:1.6.9-2ubuntu1.6
libx11-dev:amd64	2:1.6.9-2ubuntu1.6
libx11-protocol-perl	0.56-7
libx11-xcb1:amd64	2:1.6.9-2ubuntu1.6
libxapian30:amd64	1.4.14-2
libxatracker2:amd64	21.2.6-0ubuntu0.1~20.04.2
libxau6:amd64	1:1.0.9-0ubuntu1
libxau-dev:amd64	1:1.0.9-0ubuntu1
libxaw7:amd64	2:1.0.13-1
libxcb1:amd64	1.14-2
libxcb1-dev:amd64	1.14-2
libxcb-dri2-0:amd64	1.14-2
libxcb-dri3-0:amd64	1.14-2
libxcb-glx0:amd64	1.14-2
libxcb-icccm4:amd64	0.4.1-1.1
libxcb-image0:amd64	0.4.0-1build1
libxcb-keysyms1:amd64	0.4.0-1build1
libxcb-present0:amd64	1.14-2
libxcb-randr0:amd64	1.14-2
libxcb-render0:amd64	1.14-2
libxcb-render-util0:amd64	0.3.9-1build1
libxcb-res0:amd64	1.14-2
libxcb-shape0:amd64	1.14-2
libxcb-shm0:amd64	1.14-2
libxcb-sync1:amd64	1.14-2
libxcb-util1:amd64	0.4.0-0ubuntu3
libxcb-xfixes0:amd64	1.14-2
libxcb-xinerama0:amd64	1.14-2
libxcb-xinput0:amd64	1.14-2
libxcb-xkb1:amd64	1.14-2
libxcb-xv0:amd64	1.14-2
libxcomposite1:amd64	1:0.4.5-1
libxcursor1:amd64	1:1.2.0-2
libxdamage1:amd64	1:1.1.5-2
libxdmcp6:amd64	1:1.1.3-0ubuntu1
libxdmcp-dev:amd64	1:1.1.3-0ubuntu1
libxencall1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxen-dev	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxendevicemodel1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxenevtchn1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxenforeignmemory1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxengnttab1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxenmisc4.11:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxenstore3.0:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxentoolcore1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxentoollog1:amd64	4.11.3+24-g14b62ab3e5-1ubuntu2.3
libxext6:amd64	2:1.3.4-0ubuntu1
libxext-dev:amd64	2:1.3.4-0ubuntu1
libxfixes3:amd64	1:5.0.3-2
libxfont2:amd64	1:2.0.3-1
libxft2:amd64	2.3.3-0ubuntu1
libxft-dev:amd64	2.3.3-0ubuntu1
libxi6:amd64	2:1.7.10-0ubuntu1
libxinerama1:amd64	2:1.1.4-2
libxkbcommon0:amd64	0.10.0-1
libxkbcommon-x11-0:amd64	0.10.0-1
libxkbfile1:amd64	1:1.1.0-1
libxklavier16:amd64	5.4-4
libxml2:amd64	2.9.10+dfsg-5ubuntu0.20.04.10
libxml2-utils	2.9.10+dfsg-5ubuntu0.20.04.10
libxmlb2:amd64	0.3.6-2build1~20.04.1
libxml-parser-perl	2.46-1
libxml-sax-perl	1.02+dfsg-1
libxmlsec1:amd64	1.2.28-2
libxmlsec1-nss:amd64	1.2.28-2
libxml-twig-perl	1:3.50-2
libxml-xpathengine-perl	0.14-1
libxml-xpath-perl	1.44-1
libxmu6:amd64	2:1.1.3-0ubuntu1
libxmuu1:amd64	2:1.1.3-0ubuntu1
libxpm4:amd64	1:3.5.12-1ubuntu0.20.04.2
libxrandr2:amd64	2:1.5.2-0ubuntu1
libxrender1:amd64	1:0.9.10-1
libxrender-dev:amd64	1:0.9.10-1
libxres1:amd64	2:1.2.0-4
libxshmfence1:amd64	1.3-1
libxslt1.1:amd64	1.1.34-4ubuntu0.20.04.3
libxss1:amd64	1:1.2.3-1
libxss-dev:amd64	1:1.2.3-1
libxt6:amd64	1:1.1.5-1
libxtables11:amd64	1.6.0-2ubuntu3
libxtables12:amd64	1.8.4-3ubuntu2.1
libxt-dev:amd64	1:1.1.5-1
libxtst6:amd64	2:1.2.3-1
libxv1:amd64	2:1.0.11-1
libxvmc1:amd64	2:1.0.12-2
libxxf86dga1:amd64	2:1.1.5-0ubuntu1
libxxf86vm1:amd64	1:1.1.4-1build1
libyajl2:amd64	2.1.0-3ubuntu0.20.04.1
libyaml-0-2:amd64	0.2.2-1
libyaml-tiny-perl	1.73-1
libyara3:amd64	3.9.0-1
libyelp0:amd64	3.36.2-0ubuntu1.1
libzeitgeist-2.0-0:amd64	1.0.2-3ubuntu2
libzstd1:amd64	1.4.4+dfsg-3ubuntu0.1
lightdm	1.30.0-0ubuntu4~20.04.2
light-themes	19.04-0ubuntu3
lintian	2.62.0ubuntu2.5
linux-base	4.5ubuntu3.7
linux-firmware	1.187.39
linux-generic	5.4.0.216.208
linux-headers-4.15.0-213	4.15.0-213.224
linux-headers-4.15.0-213-generic	4.15.0-213.224
linux-headers-4.4.0-210	4.4.0-210.242
linux-headers-4.4.0-210-generic	4.4.0-210.242
linux-headers-5.4.0-216	5.4.0-216.236
linux-headers-5.4.0-216-generic	5.4.0-216.236
linux-headers-generic	5.4.0.216.208
linux-image-4.15.0-213-generic	4.15.0-213.224
linux-image-4.4.0-210-generic	4.4.0-210.242
linux-image-4.4.0-31-generic	4.4.0-31.50
linux-image-5.4.0-216-generic	5.4.0-216.236
linux-image-extra-4.4.0-31-generic	4.4.0-31.50
linux-image-generic	5.4.0.216.208
linux-libc-dev:amd64	5.4.0-216.236
linux-modules-4.15.0-213-generic	4.15.0-213.224
linux-modules-4.4.0-210-generic	4.4.0-210.242
linux-modules-5.4.0-216-generic	5.4.0-216.236
linux-modules-extra-4.15.0-213-generic	4.15.0-213.224
linux-modules-extra-4.4.0-210-generic	4.4.0-210.242
linux-modules-extra-5.4.0-216-generic	5.4.0-216.236
linux-sound-base	1.0.25+dfsg-0ubuntu5
lm-sensors	1:3.6.0-2ubuntu1.1
locales	2.31-0ubuntu9.18
login	1:4.8.1-1ubuntu5.20.04.5
logrotate	3.14.0-4ubuntu3
logsave	1.45.5-2ubuntu1.2
lp-solve	5.5.0.15-4build1
lsb-base	11.1.0ubuntu2
lsb-release	11.1.0ubuntu2
lshw	02.18.85-0.3ubuntu2.20.04.1
lsof	4.93.2+dfsg-1ubuntu0.20.04.1
lsscsi	0.30-0.1
ltrace	0.7.3-6.1ubuntu1.1
lvm2	2.03.07-1ubuntu1
lz4	1.9.2-2ubuntu0.20.04.1
lzop	1.04-1
m4	1.4.18-4
make	4.2.1-1.2
makedev	2.3.1-94
man-db	2.9.1-1
manpages	5.05-1
manpages-dev	5.05-1
mawk	1.3.4.20200120-2
mdadm	4.1-5ubuntu1.2
media-player-info	24-2
memtest86+	5.01-3.1ubuntu2.1
memtester	4.3.0-4
mesa-utils	8.4.0-1build1
mesa-va-drivers:amd64	21.2.6-0ubuntu0.1~20.04.2
mesa-vulkan-drivers:amd64	21.2.6-0ubuntu0.1~20.04.2
metacity-common	1:3.36.1-1ubuntu1
mime-support	3.64ubuntu1
mlocate	0.26-3ubuntu3
mobile-broadband-provider-info	20190618-3
modemmanager	1.18.6-1~ubuntu20.04.1
mokutil	0.6.0-2~20.04.2
mount	2.34-0.1ubuntu9.6
mountall	2.54ubuntu1
mousetweaks	3.32.0-2
mscompress	0.4-7
msr-tools	1.3-3
mtools	4.0.24-1
mtr-tiny	0.93-1
multiarch-support	2.27-3ubuntu1.6
mutter	3.36.9-0ubuntu0.20.04.2
mutter-common	3.36.9-0ubuntu0.20.04.2
mysql-common	5.8+1.0.5ubuntu2
mythes-en-us	1:6.4.3-1
nano	4.8-1ubuntu1.1
nautilus	1:3.36.3-0ubuntu1.20.04.2
nautilus-data	1:3.36.3-0ubuntu1.20.04.2
nautilus-extension-gnome-terminal	3.36.2-1ubuntu1~20.04
nautilus-sendto	3.8.6-3ubuntu0.20.04.1
nautilus-share	0.7.3-2ubuntu3.1
ncurses-base	6.2-0ubuntu2.1
ncurses-bin	6.2-0ubuntu2.1
ncurses-term	6.2-0ubuntu2.1
nemo-data	4.4.2-2ubuntu2
netbase	6.1
netcat-openbsd	1.206-1ubuntu1
netpbm	2:10.0-15.3build1
netplan.io	0.104-0ubuntu2~20.04.6
net-tools	1.60+git20180626.aebd88e-1ubuntu1.3
network-manager	1.22.10-1ubuntu2.4
network-manager-config-connectivity-ubuntu	1.22.10-1ubuntu2.4
network-manager-gnome	1.8.24-1ubuntu3
network-manager-openvpn	1.8.12-1
network-manager-openvpn-gnome	1.8.12-1
network-manager-pptp	1.2.8-2
network-manager-pptp-gnome	1.2.8-2
nfs-common	1:1.3.4-2.5ubuntu3.7
notify-osd	0.9.35+20.04.20191129-0ubuntu1
notify-osd-icons	0.8+15.10.20151016.2-0ubuntu1
nplan	0.99-0ubuntu3~18.04.5
ntfs-3g	1:2017.3.23AR.3-3ubuntu1.3
ntp	1:4.2.8p12+dfsg-3ubuntu4.20.04.1
nux-tools	4.0.8+18.10.20180623-0ubuntu1
onboard-common	1.4.1-2ubuntu7
openoffice.org-hyphenation	0.10
openprinting-ppds	20200401-1
openssh-client	1:8.2p1-4ubuntu0.13
openssh-server	1:8.2p1-4ubuntu0.13
openssh-sftp-server	1:8.2p1-4ubuntu0.13
openssl	1.1.1f-1ubuntu2.24
openvpn	2.4.12-0ubuntu0.20.04.2
openvswitch-common	2.13.8-0ubuntu1.4
openvswitch-pki	2.13.8-0ubuntu1.4
openvswitch-switch	2.13.8-0ubuntu1.4
openvswitch-testcontroller	2.13.8-0ubuntu1.4
orca	3.36.2-1ubuntu1~20.04.2
osinfo-db	0.20200325-1
os-prober	1.74ubuntu2
overlay-scrollbar	0.2.17.1+16.04.20151117-0ubuntu2
overlay-scrollbar-gtk2:amd64	0.2.17.1+16.04.20151117-0ubuntu2
ovmf	0~20191122.bd85bf54-2ubuntu3.6
p11-kit	0.23.20-1ubuntu0.1
p11-kit-modules:amd64	0.23.20-1ubuntu0.1
packagekit	1.1.13-2ubuntu1.1
packagekit-tools	1.1.13-2ubuntu1.1
parted	3.3-4ubuntu0.20.04.1
passwd	1:4.8.1-1ubuntu5.20.04.5
patch	2.7.6-6
patchutils	0.3.4-2
pci.ids	0.0~2020.03.20-1
pciutils	1:3.6.4-1ubuntu0.20.04.1
pcmciautils	018-11
pep8	1.7.1-9ubuntu1
perl	5.30.0-9ubuntu0.5
perl-base	5.30.0-9ubuntu0.5
perl-modules-5.26	5.26.1-6ubuntu0.7
perl-modules-5.30	5.30.0-9ubuntu0.5
perl-openssl-defaults:amd64	4
pigz	2.4-1
pinentry-gnome3	1.1.0-3build1
